time,velocity,angle of road,acceleration,rolling resistance,air resistance,gradient resistance,inertial resistance,total resistance,total power,effective power,battery capacity,range
95.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.69529550860729,61.650234700133154
96.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.68373351926664,61.64301247791092
97.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.672171529926,61.63579025568872
98.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.66060954058536,61.628568033466486
99.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.6490475512447,61.62134581123584
100.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.63748556190407,61.61412358902205
101.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.62592357256342,61.60690136679982
102.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.61436158322279,61.5996791445776
103.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.60279959388214,61.592456922355375
104.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.59123760454149,61.58523470012473
105.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.57967561520086,61.57801247791093
106.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.5681136258602,61.57079025568029
